date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:17:16	19673/19673	---M--	200	added ('OK')	image/png	date:Wed,%2024%20Aug%202022%2005:58:52%20GMT	https://foodia.dexignzone.com/xhtml/assets/images/welcome/man.png	E:/Tem/E-Kantin/foodia.dexignzone.com/xhtml/assets/images/welcome/man.png	(from https://foodia.dexignzone.com/xhtml/welcome.html)
17:17:17	55866/55866	---M--	200	added ('OK')	image/png	date:Wed,%2024%20Aug%202022%2005:58:52%20GMT	https://foodia.dexignzone.com/xhtml/assets/images/welcome/waiter.png	E:/Tem/E-Kantin/foodia.dexignzone.com/xhtml/assets/images/welcome/waiter.png	(from https://foodia.dexignzone.com/xhtml/welcome.html)
17:17:17	13912/13912	---M--	200	added ('OK')	text/html	date:Wed,%2024%20Aug%202022%2008:50:13%20GMT	https://foodia.dexignzone.com/xhtml/product-detail.html	E:/Tem/E-Kantin/foodia.dexignzone.com/xhtml/product-detail.html	(from https://foodia.dexignzone.com/xhtml/pages.html)
17:17:17	7874/7874	---M--	200	added ('OK')	text/html	date:Wed,%2024%20Aug%202022%2008:50:12%20GMT	https://foodia.dexignzone.com/xhtml/payment-confirm.html	E:/Tem/E-Kantin/foodia.dexignzone.com/xhtml/payment-confirm.html	(from https://foodia.dexignzone.com/xhtml/pages.html)
17:17:17	21233/21233	---M--	200	added ('OK')	text/html	date:Wed,%2024%20Aug%202022%2008:50:03%20GMT	https://foodia.dexignzone.com/xhtml/checkout.html	E:/Tem/E-Kantin/foodia.dexignzone.com/xhtml/checkout.html	(from https://foodia.dexignzone.com/xhtml/pages.html)
17:17:18	18338/18338	---M--	200	added ('OK')	text/html	date:Wed,%2024%20Aug%202022%2008:50:07%20GMT	https://foodia.dexignzone.com/xhtml/messages-detail.html	E:/Tem/E-Kantin/foodia.dexignzone.com/xhtml/messages-detail.html	(from https://foodia.dexignzone.com/xhtml/pages.html)
17:17:18	8801/8801	---M--	200	added ('OK')	text/html	date:Wed,%2024%20Aug%202022%2008:50:14%20GMT	https://foodia.dexignzone.com/xhtml/signup.html	E:/Tem/E-Kantin/foodia.dexignzone.com/xhtml/signup.html	(from https://foodia.dexignzone.com/xhtml/pages.html)
17:17:18	8788/8788	---M--	200	added ('OK')	text/html	date:Wed,%2024%20Aug%202022%2008:50:03%20GMT	https://foodia.dexignzone.com/xhtml/error.html	E:/Tem/E-Kantin/foodia.dexignzone.com/xhtml/error.html	(from https://foodia.dexignzone.com/xhtml/pages.html)
17:17:19	31574/31574	---M--	200	added ('OK')	text/html	date:Wed,%2024%20Aug%202022%2008:50:16%20GMT	https://foodia.dexignzone.com/xhtml/ui-accordion.html	E:/Tem/E-Kantin/foodia.dexignzone.com/xhtml/ui-accordion.html	(from https://foodia.dexignzone.com/xhtml/ui-components.html)
17:17:19	24656/24656	---M--	200	added ('OK')	text/html	date:Wed,%2024%20Aug%202022%2008:50:17%20GMT	https://foodia.dexignzone.com/xhtml/ui-action-modal.html	E:/Tem/E-Kantin/foodia.dexignzone.com/xhtml/ui-action-modal.html	(from https://foodia.dexignzone.com/xhtml/ui-components.html)
17:17:19	23273/23273	---M--	200	added ('OK')	text/html	date:Wed,%2024%20Aug%202022%2008:50:18%20GMT	https://foodia.dexignzone.com/xhtml/ui-action-sheet.html	E:/Tem/E-Kantin/foodia.dexignzone.com/xhtml/ui-action-sheet.html	(from https://foodia.dexignzone.com/xhtml/ui-components.html)
17:17:19	25586/25586	---M--	200	added ('OK')	text/html	date:Wed,%2024%20Aug%202022%2008:50:18%20GMT	https://foodia.dexignzone.com/xhtml/ui-alert.html	E:/Tem/E-Kantin/foodia.dexignzone.com/xhtml/ui-alert.html	(from https://foodia.dexignzone.com/xhtml/ui-components.html)
17:17:19	11499/11499	---M--	200	added ('OK')	text/html	date:Wed,%2024%20Aug%202022%2008:50:19%20GMT	https://foodia.dexignzone.com/xhtml/ui-avatar.html	E:/Tem/E-Kantin/foodia.dexignzone.com/xhtml/ui-avatar.html	(from https://foodia.dexignzone.com/xhtml/ui-components.html)
17:17:19	20103/20103	---M--	200	added ('OK')	text/html	date:Wed,%2024%20Aug%202022%2008:50:21%20GMT	https://foodia.dexignzone.com/xhtml/ui-button.html	E:/Tem/E-Kantin/foodia.dexignzone.com/xhtml/ui-button.html	(from https://foodia.dexignzone.com/xhtml/ui-components.html)
17:17:20	14681/14681	---M--	200	added ('OK')	text/html	date:Wed,%2024%20Aug%202022%2008:50:28%20GMT	https://foodia.dexignzone.com/xhtml/ui-radio.html	E:/Tem/E-Kantin/foodia.dexignzone.com/xhtml/ui-radio.html	(from https://foodia.dexignzone.com/xhtml/ui-components.html)
17:17:20	17872/17872	---M--	200	added ('OK')	text/html	date:Wed,%2024%20Aug%202022%2008:50:19%20GMT	https://foodia.dexignzone.com/xhtml/ui-badge.html	E:/Tem/E-Kantin/foodia.dexignzone.com/xhtml/ui-badge.html	(from https://foodia.dexignzone.com/xhtml/ui-components.html)
17:17:20	17730/17730	---M--	200	added ('OK')	text/html	date:Wed,%2024%20Aug%202022%2008:50:20%20GMT	https://foodia.dexignzone.com/xhtml/ui-button-group.html	E:/Tem/E-Kantin/foodia.dexignzone.com/xhtml/ui-button-group.html	(from https://foodia.dexignzone.com/xhtml/ui-components.html)
17:17:20	19593/19593	---M--	200	added ('OK')	text/html	date:Wed,%2024%20Aug%202022%2008:50:22%20GMT	https://foodia.dexignzone.com/xhtml/ui-card.html	E:/Tem/E-Kantin/foodia.dexignzone.com/xhtml/ui-card.html	(from https://foodia.dexignzone.com/xhtml/ui-components.html)
17:17:20	11364/11364	---M--	200	added ('OK')	text/html	date:Wed,%2024%20Aug%202022%2008:50:02%20GMT	https://foodia.dexignzone.com/xhtml/charts.html	E:/Tem/E-Kantin/foodia.dexignzone.com/xhtml/charts.html	(from https://foodia.dexignzone.com/xhtml/ui-components.html)
